Manufacturer,Permit Number,DATE,VIN NUMBER,"VEHICLE IS CAPABLE OF OPERATING WITHOUT A DRIVER
(Yes or No)","DRIVER PRESENT
(Yes or No)","DISENGAGEMENT INITIATED BY
(AV System, Test Driver, Remote Operator, or Passenger)","DISENGAGEMENT
LOCATION
(Interstate, Freeway, Highway, Rural Road, Street, or Parking Facility)",DESCRIPTION OF FACTS CAUSING DISENGAGEMENT,,
"Apex.Ai, Inc.",AVT051,3/19/2018,2T2BGMCA2HC016195,No,Yes,Test Driver,Street,Algorithmic deficiency in tracking module,,
"Apex.Ai, Inc.",AVT051,3/19/2018,2T2BGMCA2HC016195,No,Yes,Test Driver,Street,Reckless driving of other traffic participant ,,
"Apex.Ai, Inc.",AVT051,3/20/2018,2T2BGMCA2HC016195,No,Yes,Test Driver,Street,False positive sensor object ,,
"Apex.Ai, Inc.",AVT051,3/20/2018,2T2BGMCA2HC016195,No,Yes,Test Driver,Street,False positive sensor object ,,
"Apex.Ai, Inc.",AVT051,3/26/2018,2T2BGMCA2HC016195,No,Yes,Test Driver,Street,Algorithmic deficiency in tracking module,,
"Apex.Ai, Inc.",AVT051,3/27/2018,2T2BGMCA2HC016195,No,Yes,Test Driver,Street,Algorithmic deficiency in tracking module,,
"Apex.Ai, Inc.",AVT051,3/27/2018,2T2BGMCA2HC016195,No,Yes,Test Driver,Street,Algorithmic deficiency in tracking module,,
"Apex.Ai, Inc.",AVT051,3/28/2018,2T2BGMCA2HC016195,No,Yes,Test Driver,Street,Reckless driving of other traffic participant ,,
"Apex.Ai, Inc.",AVT051,3/29/2018,2T2BGMCA2HC016195,No,Yes,Test Driver,Street, Reckless driving of other traffic participant,,
"Apex.Ai, Inc.",AVT051,4/4/2018,2T2BGMCA2HC016195,No,Yes,Test Driver,Street,Deficiency of sensor set ,,
"Apex.Ai, Inc.",AVT051,4/4/2018,2T2BGMCA2HC016195,No,Yes,Test Driver,Street,Reckless driving of other traffic participant ,,
"Apex.Ai, Inc.",AVT051,4/5/2018,2T2BGMCA2HC016195,No,Yes,Test Driver,Street,Reckless driving of other traffic participant ,,
"Apex.Ai, Inc.",AVT051,4/6/2018,2T2BGMCA2HC016195,No,Yes,Test Driver,Street,Reckless driving of other traffic participant ,,
"Apex.Ai, Inc.",AVT051,4/6/2018,2T2BGMCA2HC016195,No,Yes,Test Driver,Street,Algorithmic deficiency in tracking module,,
"Apex.Ai, Inc.",AVT051,4/6/2018,2T2BGMCA2HC016195,No,Yes,Test Driver,Street,Algorithmic deficiency in tracking module,,
"Apex.Ai, Inc.",AVT051,4/6/2018,2T2BGMCA2HC016195,No,Yes,Test Driver,Street,Algorithmic deficiency in tracking module,,
"Apex.Ai, Inc.",AVT051,4/6/2018,2T2BGMCA2HC016195,No,Yes,Test Driver,Street,Algorithmic deficiency in tracking module,,
"Apex.Ai, Inc.",AVT051,4/9/2018,2T2BGMCA2HC016195,No,Yes,Test Driver,Street,Reckless driving of other traffic participant ,,
"Apex.Ai, Inc.",AVT051,4/9/2018,2T2BGMCA2HC016195,No,Yes,Test Driver,Street,Algorithmic deficiency in tracking module,,
"Apex.Ai, Inc.",AVT051,4/13/2018,2T2BGMCA2HC016195,No,Yes,Test Driver,Street,Algorithmic deficiency in tracking module,,
"Apex.Ai, Inc.",AVT051,4/19/2018,2T2BGMCA2HC016195,No,Yes,Test Driver,Street,Reckless driving of other traffic participant ,,
"Apex.Ai, Inc.",AVT051,4/26/2018,2T2BGMCA2HC016195,No,Yes,Test Driver,Street,Reckless driving of other traffic participant ,,
"Apex.Ai, Inc.",AVT051,5/1/2018,2T2BGMCA2HC016195,No,Yes,Test Driver,Street,False positive sensor object ,,
"Apex.Ai, Inc.",AVT051,5/1/2018,2T2BGMCA2HC016195,No,Yes,Test Driver,Street,Reckless driving of other traffic participant,,
"Apex.Ai, Inc.",AVT051,5/1/2018,2T2BGMCA2HC016195,No,Yes,Test Driver,Street,Deficiency of sensor set ,,
"Apex.Ai, Inc.",AVT051,5/3/2018,2T2BGMCA2HC016195,No,Yes,Test Driver,Street,Deficiency of sensor set ,,
"Apex.Ai, Inc.",AVT051,5/7/2018,2T2BGMCA2HC016195,No,Yes,Test Driver,Street,Reckless driving of other traffic participant ,,
"Apex.Ai, Inc.",AVT051,5/14/2018,2T2BGMCA2HC016195,No,Yes,Test Driver,Street,Deficiency of sensor set ,,
"Apex.Ai, Inc.",AVT051,5/14/2018,2T2BGMCA2HC016195,No,Yes,Test Driver,Street,Reckless driving of other traffic participant ,,
"Apex.Ai, Inc.",AVT051,5/17/2018,2T2BGMCA2HC016195,No,Yes,Test Driver,Street,Algorithmic deficiency in tracking module,,
"Apex.Ai, Inc.",AVT051,5/18/2018,2T2BGMCA2HC016195,No,Yes,Test Driver,Street,Deficiency of sensor set ,,
"Apex.Ai, Inc.",AVT051,5/26/2018,2T2BGMCA2HC016195,No,Yes,Test Driver,Street,Reckless driving of other traffic participant ,,
"Apex.Ai, Inc.",AVT051,6/5/2018,2T2BGMCA2HC016195,No,Yes,Test Driver,Street,Deficiency of sensor set ,,
"Apex.Ai, Inc.",AVT051,8/13/2018,2T2BGMCA2HC016195,No,Yes,Test Driver,Street,Deficiency of sensor set ,,
"Apex.Ai, Inc.",AVT051,8/28/2018,2T2BGMCA2HC016195,No,Yes,Test Driver,Street,Deficiency of sensor set ,,
"Apex.Ai, Inc.",AVT051,8/30/2018,2T2BGMCA2HC016195,No,Yes,Test Driver,Street,Deficiency of sensor set ,,
"Apex.Ai, Inc.",AVT051,9/11/2018,2T2BGMCA2HC016195,No,Yes,Test Driver,Street,Reckless driving of other traffic participant ,,
"Apex.Ai, Inc.",AVT051,9/21/2018,2T2BGMCA2HC016195,No,Yes,Test Driver,Street,Deficiency of sensor set ,,
"Apex.Ai, Inc.",AVT051,10/16/2018,2T2BGMCA2HC016195,No,Yes,Test Driver,Street,Reckless driving of other traffic participant,,
"Apex.Ai, Inc.",AVT051,10/18/2018,2T2BGMCA2HC016195,No,Yes,Test Driver,Street,Deficiency of sensor set ,,
"Apex.Ai, Inc.",AVT051,10/23/2018,2T2BGMCA2HC016195,No,Yes,Test Driver,Street,Deficiency of sensor set ,,
"Apex.Ai, Inc.",AVT051,10/26/2018,2T2BGMCA2HC016195,No,Yes,Test Driver,Street,Deficiency of sensor set ,,
"Apex.Ai, Inc.",AVT051,11/28/2018,2T2BGMCA2HC016195,No,Yes,Test Driver,Street,Deficiency of sensor set ,,
Box Bot Inc.,AVT057,10/26/2018,52CG2DGA3J5017985,Yes,Yes,Test Driver,Street,"Car wasn't going through stop sign, so driver took over",,
Box Bot Inc.,AVT057,10/26/2018,52CG2DGA3J5017985,Yes,Yes,Test Driver,Street,Driver took over when opposing traffic didn't stop at stop sign,,
Box Bot Inc.,AVT057,10/26/2018,52CG2DGA3J5017985,Yes,Yes,Test Driver,Street,Need to manually drive around car stopped in lane,,
Box Bot Inc.,AVT057,11/9/2018,52CG2DGA3J5017985,Yes,Yes,Test Driver,Street,Driver took over after bad localization due to GPS,,
Box Bot Inc.,AVT057,11/9/2018,52CG2DGA3J5017985,Yes,Yes,Test Driver,Street,Took right turn too closely and got close to parked cars,,
Box Bot Inc.,AVT057,11/9/2018,52CG2DGA3J5017985,Yes,Yes,Test Driver,Street,Got too close to cars parked on the right,,
Box Bot Inc.,AVT057,11/9/2018,52CG2DGA3J5017985,Yes,Yes,Test Driver,Street,Car was oscillating back and forth so driver took over,,
Box Bot Inc.,AVT057,11/9/2018,52CG2DGA3J5017985,Yes,Yes,Test Driver,Street,Took right turn too closely and got close to parked cars,,
Box Bot Inc.,AVT057,11/9/2018,52CG2DGA3J5017985,Yes,Yes,Test Driver,Street,Car was oscillating back and forth so driver took over,,
Box Bot Inc.,AVT057,11/10/2018,52CG2DGA3J5017985,Yes,Yes,Test Driver,Street,Need to manually drive around car stopped in lane,,
Box Bot Inc.,AVT057,11/10/2018,52CG2DGA3J5017985,Yes,Yes,Test Driver,Street,Driver took over when taking a corner came close to parked car,,
Box Bot Inc.,AVT057,11/10/2018,52CG2DGA3J5017985,Yes,Yes,Test Driver,Street,Getting too close to cars parked on right side,,
Box Bot Inc.,AVT057,11/10/2018,52CG2DGA3J5017985,Yes,Yes,Test Driver,Street,Took turn too tight and driver took over,,
Box Bot Inc.,AVT057,11/10/2018,52CG2DGA3J5017985,Yes,Yes,Test Driver,Street,Car was taking a right turn too tightly and driver took over,,
Box Bot Inc.,AVT057,11/10/2018,52CG2DGA3J5017985,Yes,Yes,Test Driver,Street,Car was taking a right turn too tightly and driver took over,,
Box Bot Inc.,AVT057,11/10/2018,52CG2DGA3J5017985,Yes,Yes,Test Driver,Street,Driver took over when car was making a right turn too tightly,,
Box Bot Inc.,AVT057,11/10/2018,52CG2DGA3J5017985,Yes,Yes,Test Driver,Street,Driver took over when it was stopped at stop sign for a long time,,
Box Bot Inc.,AVT057,11/11/2018,52CG2DGA3J5017985,Yes,Yes,Test Driver,Street,Driver took over to ensure it stopped for car that ran stop sign,,
Box Bot Inc.,AVT057,11/11/2018,52CG2DGA3J5017985,Yes,Yes,AV System,Street,Kicked out of autonomous mode for starting too close to a parked car,,
Box Bot Inc.,AVT057,11/11/2018,52CG2DGA3J5017985,Yes,Yes,Test Driver,Street,Driver took over because car behind was passing in a non-passing zone,,
Box Bot Inc.,AVT057,11/11/2018,52CG2DGA3J5017985,Yes,Yes,Test Driver,Street,Need to manually drive around car stopped in lane,,
Box Bot Inc.,AVT057,11/11/2018,52CG2DGA3J5017985,Yes,Yes,Test Driver,Street,Driver took over after bad localization due to GPS,,
Box Bot Inc.,AVT057,11/12/2018,52CG2DGA3J5017985,Yes,Yes,Test Driver,Street,Driver took over because car was waiting too long at stop sign in traffic,,
Box Bot Inc.,AVT057,11/12/2018,52CG2DGA3J5017985,Yes,Yes,Test Driver,Street,Need to manually drive around car stopped in lane,,
Box Bot Inc.,AVT057,11/12/2018,52CG2DGA3J5017985,Yes,Yes,Test Driver,Street,Getting too close to cars parked on right side,,
Box Bot Inc.,AVT057,11/12/2018,52CG2DGA3J5017985,Yes,Yes,Test Driver,Street,Getting too close to cars parked on right side,,
Box Bot Inc.,AVT057,11/12/2018,52CG2DGA3J5017985,Yes,Yes,Test Driver,Street,Need to manually drive around car stopped in lane,,
Box Bot Inc.,AVT057,11/12/2018,52CG2DGA3J5017985,Yes,Yes,Test Driver,Street,Getting too close to cars parked on right side,,
Box Bot Inc.,AVT057,11/12/2018,52CG2DGA3J5017985,Yes,Yes,Test Driver,Street,Took right turn too closely and got close to parked cars,,
Box Bot Inc.,AVT057,11/12/2018,52CG2DGA3J5017985,Yes,Yes,Test Driver,Street,Took right turn too closely and got close to parked cars,,
Box Bot Inc.,AVT057,11/12/2018,52CG2DGA3J5017985,Yes,Yes,Test Driver,Street,Took right turn too closely and got close to parked cars,,
Box Bot Inc.,AVT057,11/12/2018,52CG2DGA3J5017985,Yes,Yes,Test Driver,Street,Need to manually drive around car stopped in lane,,
Box Bot Inc.,AVT057,11/12/2018,52CG2DGA3J5017985,Yes,Yes,Test Driver,Street,Driver took over to make unprotected left turn,,
Box Bot Inc.,AVT057,11/13/2018,52CG2DGA3J5017985,Yes,Yes,Test Driver,Street,Driver took over to ensure vehicle stopped for pedestrians in a crosswalk,,
Box Bot Inc.,AVT057,11/13/2018,52CG2DGA3J5017985,Yes,Yes,Test Driver,Street,Getting too close to cars parked on right side,,
Box Bot Inc.,AVT057,11/13/2018,52CG2DGA3J5017985,Yes,Yes,Test Driver,Street,"Didn't detect traffic light properly, so driver took over",,
Box Bot Inc.,AVT057,11/13/2018,52CG2DGA3J5017985,Yes,Yes,Test Driver,Street,Vehicle was oscillating back and forth and driver took over,,
Box Bot Inc.,AVT057,11/13/2018,52CG2DGA3J5017985,Yes,Yes,Test Driver,Street,Vehicle was oscillating back and forth and driver took over,,
Box Bot Inc.,AVT057,11/13/2018,52CG2DGA3J5017985,Yes,Yes,Test Driver,Street,Stopped to ensure would not hit pedestrian at a stop sign,,
Box Bot Inc.,AVT057,11/13/2018,52CG2DGA3J5017985,Yes,Yes,Test Driver,Street,Vehicle was oscillating back and forth and driver took over,,
Box Bot Inc.,AVT057,11/13/2018,52CG2DGA3J5017985,Yes,Yes,Test Driver,Street,Driver took over when car wasn't going on green light,,
Box Bot Inc.,AVT057,11/13/2018,52CG2DGA3J5017985,Yes,Yes,Test Driver,Street,Driver took over when car got close to parked cars on the right,,
Box Bot Inc.,AVT057,11/13/2018,52CG2DGA3J5017985,Yes,Yes,Test Driver,Street,Drivier took over when car was stopped at a green light,,
Box Bot Inc.,AVT057,11/14/2018,52CG2DGA3J5017985,Yes,Yes,Test Driver,Street,Driver manually took over to ensure stopping for jaywalking pedestrians,,
Box Bot Inc.,AVT057,9/27/2019,52CG2DGAXJ5017983,Yes,Yes,Test Driver,Street,Driver took over at yellow light to ensure car would stop,,
Box Bot Inc.,AVT057,9/27/2019,52CG2DGAXJ5017983,Yes,Yes,Test Driver,Street,"Didn't detect traffic light properly, so driver took over",,
Box Bot Inc.,AVT057,9/27/2019,52CG2DGAXJ5017983,Yes,Yes,Test Driver,Street,Need to manually drive around car stopped in lane,,
Box Bot Inc.,AVT057,9/27/2019,52CG2DGAXJ5017983,Yes,Yes,Test Driver,Street,Driver took over to make manual lane change,,
Box Bot Inc.,AVT057,9/27/2019,52CG2DGAXJ5017983,Yes,Yes,Test Driver,Street,Driver took over due to phantom detection of obstacle,,
Box Bot Inc.,AVT057,9/27/2019,52CG2DGAXJ5017983,Yes,Yes,Test Driver,Street,Driver took over to make manual lane change,,
Box Bot Inc.,AVT057,10/2/2019,52CG2DGAXJ5017983,Yes,Yes,Test Driver,Street,Driver took over when car moved into its lane,,
Box Bot Inc.,AVT057,10/2/2019,52CG2DGAXJ5017983,Yes,Yes,Test Driver,Street,Need to manually drive around car stopped in lane,,
Box Bot Inc.,AVT057,10/04/2019,52CG2DGAXJ5017983,Yes,Yes,Test Driver,Street,Driver took over to make manual lane change,,
Box Bot Inc.,AVT057,10/4/2019,52CG2DGAXJ5017983,Yes,Yes,Test Driver,Street,Driver took over after car cut into lane,,
Box Bot Inc.,AVT057,10/29/2019,52CG2DGAXJ5017983,Yes,Yes,Test Driver,Street,Bad localization caused by bad GPS,,
Box Bot Inc.,AVT057,10/29/2019,52CG2DGAXJ5017983,Yes,Yes,Test Driver,Street,Bad localization caused by bad GPS,,
Box Bot Inc.,AVT057,10/29/2019,52CG2DGAXJ5017983,Yes,Yes,Test Driver,Street,Need to manually drive around car stopped in lane,,
Box Bot Inc.,AVT057,10/29/2019,52CG2DGAXJ5017983,Yes,Yes,Test Driver,Street,Need to manually drive around car stopped in lane,,
Box Bot Inc.,AVT057,10/29/2019,52CG2DGAXJ5017983,Yes,Yes,Test Driver,Street,Driver manually stopped car because it was deemed to not be stopping fast enough at light,,
Box Bot Inc.,AVT057,10/29/2019,52CG2DGAXJ5017983,Yes,Yes,Test Driver,Street,Driver took over to make manual lane change,,
Box Bot Inc.,AVT057,10/29/2019,52CG2DGAXJ5017983,Yes,Yes,Test Driver,Street,Driver took over when it was slow to respond to a green light,,
Box Bot Inc.,AVT057,10/29/2019,52CG2DGAXJ5017983,Yes,Yes,Test Driver,Street,Driver took over when car in front changed into lane just in front of vehicle,,
Box Bot Inc.,AVT057,10/29/2019,52CG2DGAXJ5017983,Yes,Yes,Test Driver,Street,Need to manually drive around car stopped in lane,,
Box Bot Inc.,AVT057,10/29/2019,52CG2DGAXJ5017983,Yes,Yes,Test Driver,Street,Driver took over to make manual lane change,,
Box Bot Inc.,AVT057,10/29/2019,52CG2DGAXJ5017983,Yes,Yes,Test Driver,Street,Need to manually drive around car stopped in lane,,
Box Bot Inc.,AVT057,10/30/2019,52CG2DGAXJ5017983,Yes,Yes,Test Driver,Street,Driver took over to make manual lane change,,
Box Bot Inc.,AVT057,10/30/2019,52CG2DGAXJ5017983,Yes,Yes,Test Driver,Street,Need to manually drive around car stopped in lane,,
Box Bot Inc.,AVT057,10/30/2019,52CG2DGAXJ5017983,Yes,Yes,Test Driver,Street,Driver took over when getting close to parked cars on right,,
Box Bot Inc.,AVT057,10/30/2019,52CG2DGAXJ5017983,Yes,Yes,Test Driver,Street,Driver took over to make manual lane change,,
Box Bot Inc.,AVT057,10/30/2019,52CG2DGAXJ5017983,Yes,Yes,Test Driver,Street,Driver took over to ensure pedestrian was able to cross street,,
Box Bot Inc.,AVT057,10/30/2019,52CG2DGAXJ5017983,Yes,Yes,Test Driver,Street,Driver took over to make manual lane change,,
Box Bot Inc.,AVT057,10/31/2019,52CG2DGAXJ5017983,Yes,Yes,Test Driver,Street,Driver took over to make manual lane change,,
Box Bot Inc.,AVT057,10/31/2019,52CG2DGAXJ5017983,Yes,Yes,Test Driver,Street,Getting too close to cars parked on right side,,
Box Bot Inc.,AVT057,10/31/2019,52CG2DGAXJ5017983,Yes,Yes,Test Driver,Street,Driver took over for unprotected left turn,,
Box Bot Inc.,AVT057,10/31/2019,52CG2DGAXJ5017983,Yes,Yes,Test Driver,Street,Driver took over to when cross traffic was getting close at intersection,,
